X,Y,USER_Date,USER_Address,USER_City,USER_State,USER_Fatal,USER_Year,ObjectID
-86.212863177199836,41.669358140588677,2017-09-05T05:00:00.000Z,700 S 24th St.,South Bend,IN,No,2017,1
-86.211669466094008,41.671327259575641,2016-10-19T05:00:00.000Z,500 S 25th St.,South Bend,IN,Yes,2016,2
-86.210651849929178,41.706166250802845,2015-05-16T05:00:00.000Z,700 S 27th St.,South Bend,IN,No,2015,3
-86.203825655065117,41.660457424047245,2016-12-11T05:00:00.000Z,1300 S 31st. St.,South Bend,IN,Yes,2016,4
-86.199082041227783,41.662466499706767,2017-08-01T05:00:00.000Z,1200 S 35th St.,South Bend,IN,No,2017,5
-86.197846156852407,41.670290216750857,2016-10-10T05:00:00.000Z,600 S 36th St.,South Bend,IN,No,2016,6
-86.275180735355576,41.68755184607479,2015-08-17T05:00:00.000Z,1000 N Adams St.,South Bend,IN,No,2015,7
-86.275258187613545,41.690830006224417,2015-12-08T05:00:00.000Z,1200 N Adams St.,South Bend,IN,No,2015,8
-86.265784383080472,41.682962983006959,2015-12-26T05:00:00.000Z,500 N Allen St.,South Bend,IN,No,2015,9
-86.266053949764839,41.683876559597714,2016-11-13T05:00:00.000Z,700 N Allen St.,South Bend,IN,No,2016,10
-86.271409131644305,41.694757127469671,2016-01-18T05:00:00.000Z,1500 N Anderson Ave.,South Bend,IN,Yes,2016,11
-86.233083403698458,41.683553038733038,2017-07-22T05:00:00.000Z,600 N Arhur St.,South Bend,IN,No,2017,12
-86.293528914708531,41.697305562594465,2015-03-24T05:00:00.000Z,1400 N Bendix Dr.,South Bend,IN,Yes,2015,13
-86.288751030951644,41.666578321074539,2017-03-16T05:00:00.000Z,800 S Bendix Dr.,South Bend,IN,Yes,2017,14
-86.273203454819253,41.682173871620201,2017-12-11T05:00:00.000Z,300 N Birdsell St.,South Bend,IN,No,2017,15
-86.273208723874774,41.680562122448528,2015-09-20T05:00:00.000Z,400 N Birdsell St.,South Bend,IN,Yes,2015,16
-86.267455863594861,41.689365913670208,2017-02-06T05:00:00.000Z,1100 N Blaine Ave.,South Bend,IN,Yes,2017,17
-86.267472647275255,41.690910335315579,2015-10-10T05:00:00.000Z,800 N Blaine St.,South Bend,IN,No,2015,18
-86.28754030249307,41.719960917096351,2015-12-24T05:00:00.000Z,2600 N Bow Ct.,South Bend,IN,No,2015,19
-86.237913297883196,41.653677197665459,2016-08-19T05:00:00.000Z,900 E Bowman St.,South Bend,IN,No,2016,20
-86.237913297883196,41.653677197665459,2016-08-20T05:00:00.000Z,900 E Bowman St.,South Bend,IN,No,2016,21
