Park_Name,Park_Type,Zip_Code,Aqua_Feat__Pool,Aqua_Feat__Spray,Backstop__Practice,Ballfield,Basketball,Blueway,Complex__Ballfield,Complex__Tennis,Concessions,Disk_Golf,Driving_Range,Educational_Experience,Event_Space,Fitness_Course,Garden__Community,Garden__Display,Golf,Hockey__Ice,Loop_Walk,MP_Field__Large,MP_Field__Multiple,MP_Field__Small,Multiuse_Court,Natural_Area,Open_Turf,Open_Water,Other___Active,Other_Passive,Passive_Node,Picnic_Grounds,Playground__Destination,Playground__Local,Public_Art,Shelter,Shelter__Group,Skate_Park,Sledding_Hill,Structure,Tennis,Trail__Primitive,Volleyball,Water_Access__Developed,Water_Access__General,Water_Feature,Address,Lat,Lon
Viewing Park,Neighborhood Park,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,,,"900 Northside Blvd, South Bend, Indiana 46617",41.6674918720005,-86.2363446469997
Potawatomi Zoo,Zoo,46615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500 South Greenlawn Avenue, South Bend, Indiana 46615",41.6712716070005,-86.2207712009996
Vassar Park,Neighborhood Park,46616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"1100 Sherman Avenue, South Bend, Indiana 46616",41.6894837530005,-86.2649324279997
Kennedy Park,Community Park,46628,1,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"2700 Westmoor Street, South Bend, Indiana 46628",41.6846746480005,-86.2883858329997
East Race Trail,Special,46617,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,1,,"935 Niles, South Bend, Indiana 46617",41.6841137480005,-86.2364985169997
Fredrickson Park,Neighborhood Park,46617,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,"1330 South Bend Avenue, South Bend, Indiana 46617",41.6905863180005,-86.2301473389996
Jon Hunt Memorial Plaza,Memorial,46601,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,"214 Michigan Street, South Bend, Indiana 46601",41.6783106840005,-86.2504509539997
Potawatomi Park,Community Park,46615,1,,,1,,,,,,,,1,1,,1,2,,,3,1,,,,,1,,,,,12,2,,,,3,,,2,,,,,,,"2000 Wall Street, South Bend, Indiana 46615",41.6675365100005,-86.2179095949996
O'Brien Park,Neighborhood Park,46614,,1,,,,,,,,,,,,,,,,,,2,,,,1,1,1,,,,,,1,,2,,1,,,,,,,,,"321 Walter Street, South Bend, Indiana 46614",41.6310119820005,-86.2468788709996
Fremont Park,Block Park,46628,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,,"1800 North Fremont Street, South Bend, Indiana 46628",41.6993638400005,-86.2849723149997
Shetterley Park,Block Park,46616,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,"1044 Riverside Drive, South Bend, Indiana 46616",41.6890971590005,-86.2596479009997
Kelly Park,Block Park,46617,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,"718 Howard Street, South Bend, Indiana 46617",41.6884330280001,-86.240575441
Martin Luther King Jr.,Neighborhood Park,46628,,1,,1,4,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,"1522 W. Linden Avenue, South Bend, Indiana 46628",41.679383204,-86.274170845
Ponader Park,Neighborhood Park,46635,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,"54054 Maple Lane Avenue, South Bend, Indiana 46635",41.7086707510001,-86.2138638709999
Riverside Park,Neighborhood Park,46628,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,1,,,"3840 Riverside Drive, South Bend, Indiana 46628",41.727347272,-86.269300363
Rum Village Annex,Community Park,46614,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,"2700 Gertrude St, South Bend, Indiana 46614",41.6468285870001,-86.273117004
Northside Blvd. Riverwalk,Community Park,46617,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"1350 Northside Blvd, South Bend, Indiana 46617",41.6613395850005,-86.2291250939996
City Cemetery,Cemetery,46616,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"214 Elm Street, South Bend, Indiana 46616",41.6776649860005,-86.2677648919997
Westhaven Park,Block Park,46628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,"1220 Sussex Drive, South Bend, Indiana 46628",41.6904709370005,-86.3059905639997
